Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Ennerzo 20g SR-246,Barrett Hodgson,20g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",1219
Corex 250mg SR-247,GSK,250mg,Suspension,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,1320
Betnovate-N 1g SR-248,Searle,1g,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1309
Cac-1000 5ml SR-249,Ferozsons,5ml,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,391
Acefyl 20g SR-250,Hilton,20g,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1190
Zovirax 50s SR-251,Pfizer,50s,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1318
Polyfax 30g SR-252,Barrett Hodgson,30g,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,499
Ennerzo 250mg/5ml SR-253,Abbott,250mg/5ml,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",824
Mobic Gel 1g SR-254,Martin Dow,1g,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,417
Betnovate-N 40mg SR-255,Ferozsons,40mg,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",88
Glucophage 20g SR-256,Ferozsons,20g,Capsule,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",978
Zestril 250mg/5ml SR-257,GSK,250mg/5ml,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",1490
Cravit 500mg SR-258,Sanofi,500mg,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1208
Corex 20mg SR-259,Getz Pharma,20mg,Syrup,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,1331
Skinoren 250mg SR-260,Ferozsons,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",255
Entamizole 15g SR-261,Abbott,15g,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1443
Xanax 500mg SR-262,Pfizer,500mg,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",930
Fesovit 20g SR-263,Barrett Hodgson,20g,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1495
Panadol 15g SR-264,Searle,15g,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,343
Dermovate 5ml SR-265,Barrett Hodgson,5ml,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",101
Klaricid 250mg/5ml SR-266,Barrett Hodgson,250mg/5ml,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",912
Panadol 10mg SR-267,GSK,10mg,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,1249
Klaricid 50s SR-268,Pfizer,50s,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",191
Loprin 10s SR-269,Searle,10s,Tablet,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,1203
Fucidin 1g SR-270,Novartis,1g,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1155
Hydrocortisone 100mg SR-271,Barrett Hodgson,100mg,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1192
Mobic Gel 20s SR-272,Bayer,20s,Ointment,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,895
Bonjela 10s SR-273,Barrett Hodgson,10s,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1299
Hydrozole 100mg SR-274,Bayer,100mg,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,178
Entamizole 10s SR-275,Sanofi,10s,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1319
Zestril 20s SR-276,Sanofi,20s,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",185
Bonjela 5ml SR-277,Novartis,5ml,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1048
Somogel 30s SR-278,Ferozsons,30s,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,171
Somogel 250mg SR-279,Getz Pharma,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,861
Hydrozole 1g SR-280,Searle,1g,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1216
Klaricid 10mg SR-281,Sami,10mg,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",142
Hydrozole 10mg SR-282,Sanofi,10mg,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1127
Mucaine 20g SR-283,Searle,20g,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",636
Surbex-Z 10mg SR-284,Bosch,10mg,Tablet,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,781
Velo 10mg SR-285,Bosch,10mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",905
Zestril 20g SR-286,Barrett Hodgson,20g,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",1454
Acefyl 10s SR-287,GSK,10s,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1061
Sancos 20g SR-288,GSK,20g,Syrup,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,257
Somogel 20g SR-289,Abbott,20g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1186
Ennerzo 500mg SR-290,PharmEvo,500mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",573
Surbex-Z 20mg SR-291,Abbott,20mg,Tablet,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,465
Fucidin 5ml SR-292,Barrett Hodgson,5ml,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,363
Fesovit 20s SR-293,Hilton,20s,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,163
Lipiget 500mg/5ml SR-294,Getz Pharma,500mg/5ml,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",620
Entamizole 5ml SR-295,Hilton,5ml,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1257
Smecta 10mg SR-296,Ferozsons,10mg,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,634
Dalacin-T 15g SR-297,Hilton,15g,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,916
Smecta 30g SR-298,Searle,30g,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,250
Voltral Gel 250mg/5ml SR-299,Pfizer,250mg/5ml,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1398
Dalacin-T 40mg SR-300,Pfizer,40mg,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1124
Hydryllin 1g SR-301,Martin Dow,1g,Syrup,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",618
Hydrozole 40mg SR-302,Getz Pharma,40mg,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,896
Voltral Gel 40mg SR-303,Bayer,40mg,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,179
Citra-Alka 100mg SR-304,GSK,100mg,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,1013
Amoxil 250mg/5ml SR-305,Abbott,250mg/5ml,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",75
Hydrocortisone 20s SR-306,Sanofi,20s,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,264
Mucaine 10mg SR-307,Abbott,10mg,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",785
Zestril 10s SR-308,Bayer,10s,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",867
Corex 20mg SR-309,PharmEvo,20mg,Suspension,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,1252
Selsun Blue 20mg SR-310,Novartis,20mg,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,893
ORS (Nimkol) 1g SR-311,Novartis,1g,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,951
Calpol 20mg SR-312,Novartis,20mg,Capsule,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,96
Cac-1000 20g SR-313,Searle,20g,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,134
Cranmax 1g SR-314,Barrett Hodgson,1g,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,187
Selsun Blue 500mg SR-315,Hilton,500mg,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,934
Citra-Alka 50mg SR-316,Bosch,50mg,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,1480
Dermovate 20mg SR-317,Martin Dow,20mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",1062
Dermovate 250mg/5ml SR-318,Martin Dow,250mg/5ml,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",463
Amoxil 250mg/5ml SR-319,Martin Dow,250mg/5ml,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",114
Entamizole 20s SR-320,Novartis,20s,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1343
Softin 20s SR-321,PharmEvo,20s,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",1195
Mucaine 10s SR-322,Sanofi,10s,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",728
Loprin 15g SR-323,Novartis,15g,Tablet,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,1397
Septran 30g SR-324,Barrett Hodgson,30g,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",1053
Brufen Syrup 100mg SR-325,Bayer,100mg,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,1013
Dalacin-T 100mg SR-326,Pfizer,100mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,814
Surbex-Z 500mg/5ml SR-327,Searle,500mg/5ml,Capsule,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,1294
Polyfax 10s SR-328,Pfizer,10s,Cream,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,129
Selsun Blue 40mg SR-329,Sanofi,40mg,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,895
Dalacin-T 250mg/5ml SR-330,Ferozsons,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1489
Fucidin 100mg SR-331,Martin Dow,100mg,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,373
